GoIndiaCab — Backend API Specification												
												
												
ID	Module	API Name	Method	Endpoint	Auth	Phase	Status	API Link	Request Sample	Success Response Sample	Error / Failure Cases	Business Rules & Notes
API-25	Booking, Cab Detail & Coupons	Get Cab Detail Specs	GET	/bookings/cab-detail?vehicleId=	Yes	P0	Client Implemented (Repository)	BookingRepository.kt	vehicleId (required)	"{""vehicle"":{...},""specs"":{...},""inclusions"":[...],""exclusions"":[...],""hourlyCharges"":[...],""cancellationPolicy"":""Free cancellation up to 6 hrs before departure."",""review"":{...},""fareBreakdown"":{""baseFare"":4500,""gstAndBookingFees"":700,""totalEstimatedFare"":5200,""advanceDepositPercent"":10,""advanceDepositAmount"":520,""remainingPayableAtPickup"":4680}}"	—	Vehicle specifications, luggage capacity, inclusions, exclusions, cancellation rules, fare breakdown.
API-26	Booking, Cab Detail & Coupons	Get Available Coupons	GET	/coupons/available	Yes	P1	Client Implemented (Repository)	BookingRepository.kt	—	"{""coupons"":[{""code"":""FIRST50"",""title"":""50% off on your first ride"",""subtitle"":""Max discount ₹200 · new users only"",""discountAmount"":200,""isApplied"":false}]}"	—	List of active promotional coupon codes.
API-27	Booking, Cab Detail & Coupons	Apply Coupon	POST	/coupons/apply	Yes	P1	Client Implemented (Repository)	BookingRepository.kt	"{""code"":""FIRST50"",""bookingId"":""GIC-849201""}"	"{""success"":true,""fareBreakdown"":{""baseFare"":4500,""discountAmount"":200,""couponCode"":""FIRST50"",""totalEstimatedFare"":5000,""advanceDepositAmount"":500,""remainingPayableAtPickup"":4500}}"	"400 INVALID_COUPON: ""Invalid or expired coupon code"""	Recalculates total fare, advance deposit (10%), and remaining pickup balance.
API-28	Booking, Cab Detail & Coupons	Remove Coupon	DELETE	/coupons/remove?bookingId=	Yes	P1	Client Implemented (Repository)	BookingRepository.kt	bookingId (required, query param)	"{""success"":true,""fareBreakdown"":{""baseFare"":4500,""discountAmount"":0,""couponCode"":null,""totalEstimatedFare"":5200}}"	—	Resets fare calculation to default state without coupon discount.
API-29	Booking, Cab Detail & Coupons	Create Booking Session	POST	/bookings/create	Yes	P0	Frontend Implemented	BookingSummaryScreen.kt	"{""vehicleId"":""veh_innova_crysta"",""origin"":""Delhi"",""destination"":""Agra"",""travelDate"":""2026-09-20"",""travelTime"":""10:30 AM"",""tripType"":""ONE_WAY"",""couponCode"":""FIRST50""}"	"{""success"":true,""bookingId"":""GIC-849201"",""status"":""PENDING_PAYMENT"",""advancePayable"":520,""totalFare"":5200}"	400 MISSING_REQUIRED_FIELDS	Creates preliminary booking record in database before initiating payment.
API-30	Payments	Create Payment Gateway Order	POST	/payments/create-order	Yes	P0	Frontend Ready	PaymentScreen.kt	"{""bookingId"":""GIC-849201"",""amount"":520,""currency"":""INR"",""paymentMethod"":""UPI""}"	"{""success"":true,""orderId"":""order_rc_92812"",""keyId"":""rzp_live_xxx"",""amount"":52000,""currency"":""INR""}"	400 Order creation failed	Creates Razorpay / Cashfree order and returns credentials for SDK checkout.
API-31	Payments	Process Advance Payment (Verify)	POST	/payments/process	Yes	P0	Client Implemented (Repository)	BookingRepository.kt	"{""bookingId"":""GIC-849201"",""amount"":520,""paymentMethodType"":""GOOGLE_PAY"",""gatewayPaymentId"":""pay_abc123"",""gatewaySignature"":""sig_xyz""}"	"{""success"":true,""confirmedBooking"":{""bookingId"":""GIC-849201"",""driverName"":null,""pickupLocation"":""..."",""totalAmount"":5000,""advancePaidAmount"":500,""remainingPayableAmount"":4500,""isConfirmed"":true}}"	400 BANK_TIMEOUT · INSUFFICIENT_FUNDS · DECLINED_BY_BANK · USER_CANCELLED	Verifies signature, records 10% advance deposit, sets booking status to CONFIRMED.
API-32	Payments	Get Payment Methods	GET	/payments/methods	Yes	P1	Client Implemented (Repository)	BookingRepository.kt	—	"{""methods"":[{""type"":""GOOGLE_PAY"",""name"":""Google Pay"",""isSelected"":true},{""type"":""PHONE_PE"",""name"":""PhonePe"",""isSelected"":false}]}"	—	Drives the payment methods picker (UPI, Cards, NetBanking, Wallet).
API-33	Payments	Get Confirmed Booking Details	GET	/bookings/{bookingId}/confirmed	Yes	P0	Client Implemented (Repository)	BookingRepository.kt	— (bookingId in path)	Same shape as confirmedBooking object in API-31	404 if booking not found	Retrieves confirmed booking details after successful payment.
API-34	Payments	Settle Remaining Balance	POST	/payments/remaining	Yes	P0	Frontend Implemented	PayRemainingPaymentScreen.kt	"{""bookingId"":""GIC-849201"",""amount"":4500,""paymentMethod"":""UPI""}"	"{""success"":true,""receiptId"":""RCPT-9921"",""isFullySettled"":true,""message"":""Trip fare settled successfully""}"	400 Payment failed	Completes final ride balance payment upon destination drop-off.
API-35	Payments	Download Tax Invoice PDF	GET	/bookings/{bookingId}/invoice/download	Yes	P1	Frontend Implemented	BookingIdConfirmationScreen.kt	— (bookingId in path)	"{""downloadUrl"":""https://cdn.goindiacab.com/invoices/GIC-849201.pdf"",""invoiceNumber"":""INV-2026-9482""}"	404 Invoice not ready	Generates official GST compliant invoice PDF for expense claims.
API-36	Driver Matching & Tracking	Search Driver Partner (Radar)	POST	/partners/search	Yes	P0	Client Implemented (Repository)	BookingRepository.kt	"{""bookingId"":""GIC-849201""}"	"{""success"":true,""driver"":{""id"":""drv_92145"",""name"":""Rajesh Kumar"",""rating"":4.9,""totalTrips"":2500,""phone"":""+91..."",""vehicleModel"":""Toyota Innova Crysta"",""vehicleNumber"":""DL 01 AB 1234"",""isVerified"":true,""startOtp"":""4829"",""etaMinutes"":4}}"	"404 NO_PARTNER: {""success"":false,""errorCode"":""NO_PARTNER"",""message"":""No Partner Available""}"	Driver matching dispatch. Client shows radar animation during countdown. If no partner, triggers refund.
API-37	Driver Matching & Tracking	Cancel Partner Search	POST	/partners/cancel-search	Yes	P1	Client Implemented (Repository)	BookingRepository.kt	"{""bookingId"":""GIC-849201""}"	"{""success"":true,""message"":""Partner search cancelled""}"	—	Used if user backs out while radar matching is active.
API-38	Driver Matching & Tracking	Get Live Trip Tracking GPS	GET	/trips/{tripId}/tracking	Yes	P0	Frontend Implemented	OngoingTripScreen.kt	— (tripId in path, long-poll or WebSocket)	"{""tripId"":""trip_1"",""driverLocation"":{""latitude"":28.6329,""longitude"":77.2195},""etaMinutes"":15,""tripStatus"":""IN_TRANSIT"",""startOtp"":""4829""}"	404 Trip not active	Real-time driver location stream, route polyline, live speed, and updated arrival ETA.
API-39	Driver Matching & Tracking	Masked VoIP / Proxy Call Driver	POST	/trips/{tripId}/call-driver	Yes	P1	Frontend Implemented	OngoingTripScreen.kt	— (tripId in path)	"{""success"":true,""virtualNumber"":""011-4091-8899"",""pin"":""4821""}"	400 Driver unavailable	Virtual number masking to protect passenger and driver private phone numbers.
API-40	Ticket & Refund	Get Booking Ticket	GET	/bookings/{bookingId}/ticket	Yes	P0	Client Implemented (Repository)	BookingRepository.kt	— (bookingId in path)	"{""bookingId"":""GIC-2026-09145"",""confirmationTime"":""Today, 06:45 PM"",""origin"":""..."",""destination"":""..."",""travelDate"":""20 Sep 2026"",""totalFare"":2499,""advancePaid"":250,""balanceRemaining"":2249,""driver"":{...},""paymentTxnId"":""TXN-..."",""isConfirmed"":true}"	404 if not found	Full booking confirmation ticket — driver details, route, vehicle, and payment summary.
API-41	Ticket & Refund	Get Refund Invoice	GET	/bookings/{bookingId}/refund	Yes	P1	Client Implemented (Repository)	BookingRepository.kt	— (bookingId in path)	"{""amountPaid"":1800,""refundAmount"":1800,""timelineText"":""Within 12 hours"",""refundingToMethod"":""Google Pay"",""statusText"":""Refund Initiated"",""progressPercent"":0.4,""failureReasonTitle"":""No Partner Available""}"	—	Shown when booking is cancelled or no driver partner was found.
API-42	Ticket & Refund	Cancel Booking & Calculate Fee	POST	/bookings/{bookingId}/cancel	Yes	P1	Frontend Implemented	TripDetailsScreen.kt	"{""bookingId"":""GIC-849201"",""reason"":""Change of plans""}"	"{""success"":true,""cancellationFee"":0,""refundAmount"":520,""refundTxnId"":""REF-98124"",""message"":""Booking cancelled. 100% refund initiated.""}"""	400 Already started or non-cancellable	Enforces free cancellation up to 6 hours before departure.
API-43	Payment Schedule (Multi-day)	Get Trip Payment Schedule	GET	/bookings/{bookingId}/payment-schedule	Yes	P0	Client Implemented (Repository / Engine)	DynamicPaymentScheduleEngine.kt	— (bookingId in path)	"{""routeSummary"":""Delhi → Jaipur Multi-Stop"",""durationAndDistance"":""3 Days · 580 km"",""totalAmount"":20000,""milestones"":[{""id"":""m1"",""title"":""Booking Advance (10%)"",""amount"":2000,""status"":""PAID""},{""id"":""m2"",""title"":""Trip Start (40%)"",""amount"":8000,""status"":""DUE""}]}"	—	Multi-day trips split payment: 10% advance → 40% at trip start → 50% at final drop.
API-44	Payment Schedule (Multi-day)	Mark Milestone Paid	POST	/bookings/{bookingId}/milestones/{milestoneId}/pay	Yes	P2	Client Implemented (Repository)	BookingRepository.kt	— (IDs in path)	Updated Trip Payment Schedule object with that milestone status set to PAID	—	Called after milestone payment OTP has been verified.
API-45	Payment Schedule (Multi-day)	Verify Milestone Payment OTP	POST	/payments/verify-otp	Yes	P2	Client Implemented (Repository)	BookingRepository.kt	"{""bookingId"":""GIC-849201"",""otp"":""7429""}"	"{""success"":true,""message"":""Payment OTP verified successfully""}"	"400 INVALID_OTP: ""Invalid OTP. Please check the code."""	4-digit OTP shared between driver and passenger to confirm milestone cash/UPI release.
API-46	Payment Schedule (Multi-day)	Resend Milestone Payment OTP	POST	/payments/resend-otp	Yes	P1	Client Implemented (Repository)	BookingRepository.kt	"{""bookingId"":""GIC-849201""}"	"{""success"":true,""message"":""OTP resent successfully""}"	—	Resends 4-digit milestone OTP via SMS.
API-47	User Profile	Get User Profile	GET	/users/profile	Yes	P1	Frontend Implemented	ProfileScreen.kt	—	"{""id"":""usr_12345"",""name"":""Dhruva"",""phone"":""+919876543210"",""email"":""dhruva@example.com"",""memberSince"":""Sept 2026"",""totalTrips"":12,""walletBalance"":500,""referralCode"":""DHRUVA500""}"	—	Powers profile card, drawer header, wallet summary, and referral display.
API-48	User Profile	Update User Profile Info	PUT	/users/profile	Yes	P2	Frontend Implemented	EditProfileScreen.kt	"{""name"":""Dhruva Kumar"",""email"":""dhruva.kumar@example.com""}"	"{""success"":true,""message"":""Profile updated successfully""}"	400 if email format invalid	Partial update of user profile personal details.
API-49	User Profile	Upload Profile Avatar	POST	/users/profile/avatar	Yes	P2	Frontend Ready	EditProfileScreen.kt	multipart/form-data (image file)	"{""success"":true,""avatarUrl"":""https://cdn.goindiacab.com/avatars/usr_12345.jpg""}"	400 Invalid image format or size > 5MB	Uploads user profile picture to S3 / Cloud Storage CDN.
API-50	User Addresses	Get Saved Addresses	GET	/users/addresses	Yes	P1	Frontend Implemented	SavedPlacesScreen.kt	—	"{""addresses"":[{""id"":""addr_1"",""title"":""Home"",""address"":""H.No 452, Sector 15-A, Rohini, New Delhi"",""tag"":""Home""},{""id"":""addr_2"",""title"":""Work"",""address"":""Lumen Tech Park, Sector 62, Noida"",""tag"":""Work""}]}"	401 Unauthorized	Returns user bookmarked destinations. Powers Saved Places Screen.
API-51	User Addresses	Add New Saved Address	POST	/users/addresses	Yes	P1	Frontend Implemented	AddNewAddressScreen.kt	"{""title"":""Home"",""address"":""H.No 452, Sector 15-A, Rohini, New Delhi"",""tag"":""Home"",""landmark"":""Near Mother Dairy"",""latitude"":28.7155,""longitude"":77.1234}"	"{""success"":true,""id"":""addr_new123"",""message"":""Address saved successfully""}"	400 MISSING_FIELDS	Powers Add New Address Screen and Confirm Address on Map.
API-52	User Addresses	Update Saved Address	PUT	/users/addresses/{addressId}	Yes	P1	Frontend Implemented	SavedPlacesScreen.kt	"{""title"":""New Work"",""address"":""Tower B, Candor TechSpace, Sector 62, Noida"",""tag"":""Work""}"	"{""success"":true,""message"":""Address updated successfully""}"	404 Address not found	Updates existing address entry in Saved Places Screen.
API-53	User Addresses	Delete Saved Address	DELETE	/users/addresses/{addressId}	Yes	P1	Frontend Implemented	SavedPlacesScreen.kt	— (addressId in path)	"{""success"":true,""message"":""Address removed successfully""}"	404 Address not found	Deletes bookmark from Saved Places Screen.
API-54	Trips Management	Get User Trips History	GET	/trips?status=	Yes	P1	Frontend Implemented	MyTripsScreen.kt	status (optional: UPCOMING | COMPLETED | CANCELLED)	"{""trips"":[{""id"":""trip_1"",""origin"":""Delhi"",""destination"":""Agra"",""date"":""20 Sep 2026"",""fare"":2499,""status"":""UPCOMING"",""vehicleType"":""Sedan""}]}"	401 Unauthorized	Powers tabs in MyTripsScreen.kt (Upcoming, Completed, Cancelled).
API-55	Trips Management	Get Full Trip Details Receipt	GET	/trips/{tripId}	Yes	P1	Frontend Implemented	TripDetailsScreen.kt	— (tripId in path)	"{""id"":""trip_1"",""pickup"":""Delhi NCR"",""drop"":""Agra"",""driver"":{""name"":""Rajesh Kumar"",""rating"":4.9,""phone"":""+91...""},""fare"":{""base"":2000,""tax"":499,""total"":2499},""status"":""COMPLETED""}"	404 Trip not found	Full trip receipt, itinerary breakdown, driver info, and ticket support CTA.
API-56	Customer Support	Raise Support Ticket	POST	/support/tickets	Yes	P1	Frontend Implemented	HelpRaiseTicketScreen.kt	"{""category"":""TRIP_ISSUE"",""tripId"":""trip_1"",""subject"":""Driver delayed"",""description"":""Driver arrived 30 mins late"",""attachments"":[]}"	"{""success"":true,""ticketId"":""TCK-9402"",""message"":""Support ticket created. Our team will contact you within 2 hours.""}"	400 Missing required fields	Enables raising complaints for Lost Items, Fare Disputes, or Safety in HelpRaiseTicketScreen.kt.
API-57	Customer Support	Get Support Tickets History	GET	/support/tickets	Yes	P1	Frontend Implemented	HelpTicketHistoryScreen.kt	—	"{""tickets"":[{""ticketId"":""TCK-9402"",""category"":""Trip Issues"",""status"":""IN_REVIEW"",""createdDate"":""Today, 02:30 PM"",""subject"":""Driver delayed""}]}"	401 Unauthorized	Displays open and resolved support tickets in HelpTicketHistoryScreen.kt.
API-58	Customer Support	Report Lost Item / Trip Issue	POST	/trips/{tripId}/issues	Yes	P1	Frontend Implemented	HelpTripIssuesScreen.kt	"{""itemDescription"":""Black Laptop Bag"",""lastSeenLocation"":""Rear seat"",""tripId"":""trip_ndls_igi""}"	"{""success"":true,""caseId"":""LOST-8821"",""message"":""Lost item report filed. Driver team alerted.""}"	404 Trip not found	Reports lost baggage or property left behind in cab.
API-59	Customer Support	Dispute Payment / Toll Charge	POST	/payments/{txnId}/dispute	Yes	P1	Frontend Implemented	HelpPaymentsScreen.kt	"{""txnId"":""TXN-98421"",""reason"":""Incorrect toll charged"",""expectedAmount"":2000,""chargedAmount"":2400}"	"{""success"":true,""disputeId"":""DSP-1092"",""status"":""UNDER_REVIEW""}"	400 Transaction already refunded or invalid	Dispute overcharges or bank failure debit issues.
API-60	Safety & Emergency	Trigger SOS Emergency Alert	POST	/safety/sos	Yes	P0	Frontend Implemented	HelpSafetyScreen.kt	"{""tripId"":""trip_1"",""currentLocation"":{""latitude"":28.6329,""longitude"":77.2195},""reason"":""EMERGENCY""}"	"{""success"":true,""alertId"":""SOS-8812"",""message"":""Emergency protocol initiated. Police & GoIndiaCab 24/7 safety desk notified.""}"	—	High-priority emergency endpoint triggered from OngoingTripScreen SOS button and HelpSafetyScreen.kt.
API-61	Safety & Emergency	Get / Add Emergency SOS Contacts	POST	/users/emergency-contacts	Yes	P1	Frontend Ready	HelpSafetyScreen.kt	"{""contacts"":[{""name"":""Parent"",""phone"":""+919811122233""}]}"	"{""success"":true,""contacts"":[...]}"	400 Max 3 emergency contacts allowed	Stores emergency contacts who receive automatic SMS tracking links on SOS trigger.
API-62	Reviews & Feedback	Submit Trip / Driver Review	POST	/trips/{tripId}/review	Yes	P2	Frontend Implemented	RateUsScreen.kt	"{""rating"":5,""feedbackText"":""Excellent driver and very clean cab!"",""tags"":[""Punctual"",""Clean Cab""]}"	"{""success"":true,""message"":""Review submitted successfully""}"	400 Already reviewed	Submitted from RateUsScreen.kt dialog and MyReviewsScreen.kt.
API-63	Reviews & Feedback	Get User Past Reviews	GET	/reviews/user	Yes	P2	Frontend Implemented	MyReviewsScreen.kt	—	"{""reviews"":[{""tripId"":""trip_1"",""driverName"":""Rajesh Kumar"",""rating"":5,""date"":""12 Sep 2026"",""feedbackText"":""Great service!""}]}"	401 Unauthorized	Lists user historical driver reviews in MyReviewsScreen.kt.
API-64	Notifications	Get Notification Alerts Feed	GET	/notifications	Yes	P2	Frontend Implemented	NotificationsScreen.kt	—	"{""notifications"":[{""id"":""notif_1"",""title"":""Trip Confirmed"",""message"":""Your cab to Agra has been booked."",""timestamp"":""10 mins ago"",""type"":""RIDE"",""isRead"":false}]}"	401 Unauthorized	Powers notification center feed (Rides, Offers, Updates) in NotificationsScreen.kt.
API-65	Notifications	Mark Notifications as Read	POST	/notifications/read	Yes	P2	Frontend Implemented	NotificationsScreen.kt	"{""notificationIds"":[""notif_1""],""markAll"":true}"	"{""success"":true,""unreadCount"":0}"	—	Clears unread badge counter in notification screen.
API-66	Notifications	Register Device Push Token (FCM)	POST	/users/device-token	Yes	P0	Frontend Ready	AppContainer	"{""fcmToken"":""fcm_token_string_xxx"",""platform"":""ANDROID"",""osVersion"":""14.0""}"	"{""success"":true,""message"":""Device token registered""}"	—	Required for sending push notifications for ride updates, driver arrival, and milestone alerts.
API-67	Refer & Earn	Get Referral Stats & Code	GET	/referrals/info	Yes	P2	Frontend Implemented	ReferEarnScreen.kt	—	"{""referralCode"":""DHRUVA500"",""rewardAmountInr"":500,""totalEarned"":1500,""successfulReferrals"":3,""shareUrl"":""https://goindiacab.com/refer/DHRUVA500""}"	401 Unauthorized	Powers referral card, reward tracking, and WhatsApp/SMS share triggers in ReferEarnScreen.kt.
API-68	Refer & Earn	Redeem Referral Earnings to Wallet	POST	/referrals/redeem	Yes	P2	Frontend Ready	ReferEarnScreen.kt	"{""amount"":1500}"	"{""success"":true,""walletBalance"":2000,""message"":""₹1,500 credited to your GoIndiaCab wallet""}"	400 Minimum redemption balance is ₹500	Transfers referral rewards into GoIndiaCab wallet for ride discounts.
